scenario;threads;walltime_interp;walltime_norm;walltime_mover;walltime_denorm;void_count;walltime_alg
A;1;0.167495;0.000347;0.044975;0.000047;3;0.212863
A;2;0.109220;0.000193;0.024410;0.000051;3;0.133874
A;4;0.068915;0.000119;0.013672;0.000040;3;0.082747
A;8;0.067444;0.000110;0.012420;0.000048;3;0.080022
A;16;0.070576;0.001160;0.015156;0.000703;3;0.087595
B;1;0.931559;0.000347;0.248976;0.000049;11;1.180932
B;2;0.581152;0.000185;0.132442;0.000048;11;0.713827
B;4;0.361644;0.000112;0.115447;0.000044;11;0.477247
B;8;0.366732;0.000928;0.113436;0.000049;11;0.481146
B;16;0.310473;0.003484;0.120910;0.001733;11;0.436600
C;1;0.674102;0.001337;0.190622;0.000173;1;0.866234
C;2;0.449715;0.000696;0.103766;0.000165;1;0.554342
C;4;0.274280;0.000372;0.080534;0.000123;1;0.355309
C;8;0.281283;0.000344;0.083540;0.000123;1;0.365290
C;16;0.236047;0.003921;0.085151;0.001502;1;0.326621
D;1;3.748391;0.001339;1.050917;0.000171;5;4.800817
D;2;2.493339;0.000739;0.568791;0.000158;5;3.063027
D;4;1.512186;0.000369;0.470061;0.000120;5;1.982736
D;8;1.459432;0.001251;0.483144;0.000142;5;1.943969
D;16;1.270508;0.004159;0.488963;0.001461;5;1.765091
E;1;3.224931;0.005287;0.893332;0.000999;0;4.124549
E;2;1.607430;0.002756;0.479099;0.000863;0;2.090148
E;4;1.007482;0.001430;0.372110;0.000533;0;1.381556
E;8;0.966285;0.001798;0.368184;0.000540;0;1.336807
E;16;0.846358;0.004276;0.376624;0.001560;0;1.228818
